title,description,category,priority,resolution
Core Switch Uplink Flapping,"We are seeing intermittent connectivity loss on the primary stack in IDF-04. The core switch logs show 'ERR_DISABLE' status on port Gi1/0/48, which is the uplink to the distribution layer. This is causing network drops for the entire marketing floor every 15 minutes.",Infrastructure,Critical,"Replaced faulty SFP+ transceiver and patched the fiber uplink, stability confirmed."
Compliance audit: Missing Windows updates,The security scanner flagged my workstation for KB5034441 and KB5025239. I've tried clicking 'Check for updates' in Settings but it just hangs at 0%. I need to be compliant by EOD to keep my access.,Security,High,Manually cleared Windows Update cache and restarted the BITS service to trigger successful patch installation.
SQL Server Management Studio connection timeout,"Hey, I’m having some trouble connecting to the staging DB via SSMS 19.1—it keeps hitting a ""Connection Timeout Expired"" error. I've already checked and my VPN is solid, plus I can ping the server IP just fine. Could someone look into this and see if my credentials might have expired in the AD group?",Application,Critical,Reset the user's domain password which had reached the mandatory 90-day expiration threshold.
Need a backup restored for testing,"Hey guys, could you please restore the 'Staging_V2' database from last night's backup? I accidentally dropped a critical schema while testing a new migration script and I need to revert those changes ASAP. Thanks!",Database,Medium,Restored the 'Staging_V2' database from the 02:00 AM full backup to a temporary instance and verified data integrity before notifying the requester.
Update request: Security patch,I am unable to install the mandatory monthly Windows Security Update (KB5034441) on my workstation. It returns error code 0x80070643 every time I restart. I want to make sure I am compliant with company policy.,Security,Low,Extended the WinRE partition size to accommodate the patch and successfully re-ran the Windows Update service.
Intermittent connectivity on VLAN 20,"I am experiencing intermittent network drops on the accounting subnet (VLAN 20). Users report losing connection to the file server every 15-20 minutes, which then reconnects automatically after 30 seconds. I've already checked the uplink port on the core switch and see no CRC errors.",Network,High,Replaced faulty SFP+ module on the distribution switch stack.
Need sudo access for software installation,I need to install Wireshark and some specific network drivers for my current project. My current user profile on the MacBook Pro (M2) doesn't have the required administrative permissions. Can you grant me sudo access for this session?,Security,Low,Denied direct sudo access per security policy. Provided elevated access via self-service portal for approved software packages only.
Office network totally down,"We are currently experiencing a complete network outage, resulting in a total loss of internet connectivity and server access. This critical failure is preventing all operations, which is unacceptable given that we have a project deadline in two hours. Please treat this matter with the utmost urgency and restore services immediately.",Network,Critical,Replaced the failed redundant power supply on the primary core router and rebooted the gateway.
Need to wipe hard drive,I have an old laptop here that needs to be decommissioned. Can you wipe the disk to DoD standards? I don't want any data lingering on it.,Storage,Low,Executed a DBAN (Darik's Boot and Nuke) pass on the drive and provided the certificate of destruction.
VPN connection failing,"Every time I try to connect to the GlobalProtect VPN on my MacBook Pro running macOS Sonoma, I get a 'GlobalProtect Error: 504' message. It was working fine yesterday until I installed the latest OS update. Please help.",Security,Medium,Updated the GlobalProtect client to version 6.2.3 to ensure compatibility with macOS Sonoma network stacks.
Salesforce login loop on Chrome,"I keep getting stuck in a redirect loop whenever I try to log into Salesforce. I have cleared my cache and cookies on Chrome v120.0, but the error persists. It just refreshes the login page continuously.",Application,High,Cleared corrupted browser cache files and updated Salesforce security certificates in the user's profile.
SAP GUI connectivity issue,Getting error 10061 Connection Refused when launching SAP. It was working fine this morning. Please help.,Application,High,Flushed the local DNS cache and verified connectivity to the application server via VPN.
Hyper-V host performance degradation,Host HV-PROD-01 is showing 95% CPU usage across all cores. Guest VMs are lagging heavily. I suspect a background backup process is stuck.,Infrastructure,High,"Identified a stuck VSS snapshot process, killed the process tree, and rescheduled the backup window."
